No.,Time,Source,Destination,Protocol,Length,Info
1,0,203.153.146.238,224.0.0.18,VRRP,60,Announcement (v3)
2,0.166173,GigaByteTech_6c:4d:e0,Broadcast,ARP,60,Who has 203.153.147.78? Tell 203.153.147.17
3,0.193129,203.153.148.17,34.95.0.29,TCP,55,51702  >  443 [ACK] Seq=1 Ack=1 Win=1020 Len=1 [TCP segment of a reassembled PDU]
4,0.366563,HongRuiOptic_0a:3b:ee,Broadcast,RLDP,60,Network Loop Detection
5,0.383902,34.95.0.29,203.153.148.17,TCP,66,443  >  51702 [ACK] Seq=1 Ack=2 Win=249 Len=0 SLE=1 SRE=2
6,0.59988,203.153.146.238,224.0.0.18,VRRP,60,Announcement (v3)
7,0.699932,203.153.146.238,224.0.0.18,VRRP,60,Announcement (v3)
8,0.705515,MicroStarINT_45:36:17,Broadcast,ARP,60,Who has 203.153.148.197? Tell 203.153.148.62
9,0.997773,GigaByteTech_6c:4d:e0,Broadcast,ARP,60,Who has 203.153.147.78? Tell 203.153.147.17
10,1.009558,Ubiquoss_6e:eb:f2,ISL-Frame_07:70,0x0807,60,Ethernet II
11,1.054121,fe80::354a:96e3:45b5:ddb4,ff02::fb,MDNS,102,"Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
12,1.125162,MTNElectroni_01:19:58,Broadcast,RLDP,60,Network Loop Detection
13,1.487046,192.168.153.241,255.255.255.255,DB-LSP-DISC/JSON,188,"Dropbox LAN sync Discovery Protocol, JSON"
14,1.488354,192.168.153.241,192.168.153.255,DB-LSP-DISC/JSON,188,"Dropbox LAN sync Discovery Protocol, JSON"
15,1.710252,MicroStarINT_45:36:17,Broadcast,ARP,60,Who has 203.153.148.197? Tell 203.153.148.62
16,1.875843,203.153.148.17,203.252.192.1,DNS,92,Standard query 0xcddd A server.events.data.microsoft.com
17,1.889812,203.252.192.1,203.153.148.17,DNS,215,Standard query response 0xcddd A server.events.data.microsoft.com CNAME server.events.data.trafficmanager.net CNAME onedscolprdcus03.centralus.cloudapp.azure.com A 13.89.178.27
18,1.890625,203.153.148.17,13.89.178.27,TCP,66,51808  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
19,2.0119,GigaByteTech_6c:4d:e0,Broadcast,ARP,60,Who has 203.153.147.78? Tell 203.153.147.17
20,2.057985,13.89.178.27,203.153.148.17,TCP,66,"443  >  51808 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
21,2.058056,203.153.148.17,13.89.178.27,TCP,54,51808  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
22,2.061426,203.153.148.17,13.89.178.27,TLSv1.2,260,Client Hello (SNI=server.events.data.microsoft.com)
23,2.201943,203.153.146.238,224.0.0.18,VRRP,60,Announcement (v3)
24,2.231319,13.89.178.27,203.153.148.17,TCP,1514,443  >  51808 [ACK] Seq=1 Ack=207 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]
25,2.231319,13.89.178.27,203.153.148.17,TCP,1514,443  >  51808 [ACK] Seq=1461 Ack=207 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]
